Codepoint,Property,Description
11C41-11C45,ID_DIS or FREE_PVAL,BHAIKSUKI DANDA..BHAIKSUKI GAP FILLER-2
11C46-11C4F,UNASSIGNED,<RESERVED>..<RESERVED>
11C50-11C59,PVALID,BHAIKSUKI DIGIT ZERO..BHAIKSUKI DIGIT NINE
11C5A-11C6C,ID_DIS or FREE_PVAL,BHAIKSUKI NUMBER ONE..BHAIKSUKI HUNDREDS UNIT MARK
11C6D-11C6F,UNASSIGNED,<RESERVED>..<RESERVED>
11C70-11C71,ID_DIS or FREE_PVAL,MARCHEN HEAD MARK..MARCHEN MARK SHAD
11C72-11C8F,PVALID,MARCHEN LETTER KA..MARCHEN LETTER A
11C90-11C91,UNASSIGNED,<RESERVED>..<RESERVED>
11C92-11CA7,PVALID,MARCHEN SUBJOINED LETTER KA..MARCHEN SUBJOINED LETTER ZA
11CA8,UNASSIGNED,<RESERVED>
11CA9-11CB6,PVALID,MARCHEN SUBJOINED LETTER YA..MARCHEN SIGN CANDRABINDU
11CB7-11CFF,UNASSIGNED,<RESERVED>..<RESERVED>
11D00-11D06,PVALID,MASARAM GONDI LETTER A..MASARAM GONDI LETTER E
11D07,UNASSIGNED,<RESERVED>
11D08-11D09,PVALID,MASARAM GONDI LETTER AI..MASARAM GONDI LETTER O
11D0A,UNASSIGNED,<RESERVED>
11D0B-11D36,PVALID,MASARAM GONDI LETTER AU..MASARAM GONDI VOWEL SIGN VOCALIC R
11D37-11D39,UNASSIGNED,<RESERVED>..<RESERVED>
11D3A,PVALID,MASARAM GONDI VOWEL SIGN E
11D3B,UNASSIGNED,<RESERVED>
11D3C-11D3D,PVALID,MASARAM GONDI VOWEL SIGN AI..MASARAM GONDI VOWEL SIGN O
11D3E,UNASSIGNED,<RESERVED>
11D3F-11D47,PVALID,MASARAM GONDI VOWEL SIGN AU..MASARAM GONDI RA-KARA
11D48-11D4F,UNASSIGNED,<RESERVED>..<RESERVED>
11D50-11D59,PVALID,MASARAM GONDI DIGIT ZERO..MASARAM GONDI DIGIT NINE
11D5A-11D5F,UNASSIGNED,<RESERVED>..<RESERVED>
11D60-11D65,PVALID,GUNJALA GONDI LETTER A..GUNJALA GONDI LETTER UU
11D66,UNASSIGNED,<RESERVED>
11D67-11D68,PVALID,GUNJALA GONDI LETTER EE..GUNJALA GONDI LETTER AI
11D69,UNASSIGNED,<RESERVED>
11D6A-11D8E,PVALID,GUNJALA GONDI LETTER OO..GUNJALA GONDI VOWEL SIGN UU
11D8F,UNASSIGNED,<RESERVED>
11D90-11D91,PVALID,GUNJALA GONDI VOWEL SIGN EE..GUNJALA GONDI VOWEL SIGN AI
11D92,UNASSIGNED,<RESERVED>
11D93-11D98,PVALID,GUNJALA GONDI VOWEL SIGN OO..GUNJALA GONDI OM
11D99-11D9F,UNASSIGNED,<RESERVED>..<RESERVED>
